City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cadale,2.7603,46.3222,27.62,78,22,3.37,SO,1699827430
83,jamestown,42.097,-79.2353,5.57,57,0,3.09,US,1699827368
84,dunedin,-45.8742,170.5036,19.48,68,100,2.68,NZ,1699827385
85,ad dilam,23.9915,47.1627,23.23,48,98,2.62,SA,1699827430
86,nema,57.5067,50.5011,0.29,98,100,6.02,RU,1699827431
87,sola,-13.8833,167.55,25.84,79,97,13.87,VU,1699827431
88,mandan,46.8267,-100.8896,13.99,35,0,8.75,US,1699827431
89,qaqortoq,60.7167,-46.0333,-7.25,86,6,0.08,GL,1699827235
90,puerto ayora,-0.7393,-90.3518,27.98,88,49,2.68,EC,1699827432
91,bethel,41.3712,-73.414,4.31,61,0,1.54,US,1699827224
92,badger,64.8,-147.5333,-7.07,88,100,1.54,US,1699827226
93,avarua,-21.2078,-159.775,23.03,60,98,4.12,CK,1699827243
94,cofradia,15.4,-88.15,28.85,90,43,1.8,HN,1699827433
95,sur,22.5667,59.5289,25.31,56,100,0.72,OM,1699827270
96,roma,43.2128,-75.4557,2.73,71,0,2.06,US,1699827434
97,la huacana,18.9667,-101.8167,31.01,54,7,1.51,MX,1699827434
98,rongelap,11.1635,166.8941,27.89,82,100,8.68,MH,1699827435
99,hawaiian paradise park,19.5933,-154.9731,25.73,86,100,4.12,US,1699827226
100,luderitz,-26.6481,15.1594,18.09,59,0,9.27,NA,1699827349
101,yeniseysk,58.4497,92.1703,-1.7,98,100,2.68,RU,1699827436
102,ancud,-41.8697,-73.8203,9.36,58,31,4.45,CL,1699827437
103,selfoss,63.9331,-20.9971,3.36,67,100,6.99,IS,1699827437
104,sao felix do xingu,-6.6447,-51.995,31.19,39,93,0.68,BR,1699827439
105,arraial do cabo,-22.9661,-42.0278,26.92,78,0,0.51,BR,1699827439
106,lorengau,-2.0226,147.2712,27.66,71,82,1.83,PG,1699827439
107,vicam,27.6333,-110.2833,29.56,15,0,4.46,MX,1699827440
108,greenville,35.6127,-77.3663,12.09,93,100,2.06,US,1699827213
109,kapuskasing,49.4169,-82.4331,1.05,93,100,6.69,CA,1699827441
110,thompson,55.7435,-97.8558,-0.91,93,100,1.03,CA,1699827234
111,iqaluit,63.7506,-68.5145,-17.95,70,20,6.17,CA,1699827441
112,bredasdorp,-34.5322,20.0403,13.52,84,1,0.39,ZA,1699827222
113,lerwick,60.1545,-1.1494,7.86,81,37,6.09,GB,1699827442
114,gusinoozyorsk,51.2833,106.5,-12.62,93,71,0.53,RU,1699827442
115,dompu,-8.5356,118.4622,25.18,94,64,0.43,ID,1699827443
116,sao joao da barra,-21.6403,-41.0511,28.05,88,42,4.58,BR,1699827189
117,revelstoke,50.9832,-118.2023,5.01,87,100,1.03,CA,1699827443
118,mermoz boabab,14.7065,-17.4758,26.31,89,0,3.09,SN,1699827444
119,margaret river,-33.95,115.0667,14.6,86,100,6.22,AU,1699827444
120,tazovsky,67.4667,78.7,-5.84,94,100,6.23,RU,1699827444
121,kutum,14.2,24.6667,26.32,27,98,3.99,SD,1699827445
122,sechura,-5.5569,-80.8222,25.15,61,12,9.1,PE,1699827445
123,manokwari,-0.8667,134.0833,26.47,77,100,2.68,ID,1699827445
124,colonia,50.9333,6.95,7.2,87,75,2.06,DE,1699827446
125,lensk,60.7253,114.9278,-12.71,94,100,2.13,RU,1699827446
126,salalah,17.0151,54.0924,26.05,57,0,3.6,OM,1699827446
127,nangomba,-10.9,38.5,25.59,71,55,2.77,TZ,1699827447
128,vorgashor,67.5833,63.95,-10.53,96,49,4.63,RU,1699827447
129,talnakh,69.4865,88.3972,-2.66,96,100,4.47,RU,1699827447
130,uturoa,-16.7333,-151.4333,27.51,78,8,3.83,PF,1699827448
131,ciudad lazaro cardenas,17.9583,-102.2,29.72,69,15,4.46,MX,1699827397
132,city of balikpapan,-1.242,116.8942,25.97,100,20,2.57,ID,1699827448
133,nova sintra,14.8667,-24.7167,23.62,70,28,4.91,CV,1699827449
134,dien bien phu,21.3833,103.0167,20.28,98,94,1.23,VN,1699827449
135,constantia,44.1833,28.65,7.61,47,99,4.05,RO,1699827449
